energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3.218,,10.355131732,0.2560380108150921,X,L,48,61,Cd,,0,,5/2+,461.9,,4,d,39908160,34560,EC,100,,215.1,20,47,62,Ag,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
3.388,,5.11442208,0.17887177885995542,X,L,48,61,Cd,,59.6,0.07,1/2+,11.8,,16,us,0.0000118,0.0000016,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
3.388,,1.2128144745872,0.03320846473235747,X,L,48,61,Cd,,463.1,0.11,11/2-,10.6,,4,us,0.0000106,0.0000004,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
21.99,,29.24587787428811,0.2664451667217888,X,KA2,48,61,Cd,,0,,5/2+,461.9,,4,d,39908160,34560,EC,100,,215.1,20,47,62,Ag,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
22.163,,55.12889325973253,0.4298413362464798,X,KA1,48,61,Cd,,0,,5/2+,461.9,,4,d,39908160,34560,EC,100,,215.1,20,47,62,Ag,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
22.983,,13.181765368960352,0.39589296855780853,X,KA2,48,61,Cd,,59.6,0.07,1/2+,11.8,,16,us,0.0000118,0.0000016,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
22.983,,4.235720239238069,0.056666744849370884,X,KA2,48,61,Cd,,463.1,0.11,11/2-,10.6,,4,us,0.0000106,0.0000004,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
23.173,,24.791734754486274,0.7353982670695859,X,KA1,48,61,Cd,,59.6,0.07,1/2+,11.8,,16,us,0.0000118,0.0000016,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
23.173,,7.966372464243124,0.09977737822020223,X,KA1,48,61,Cd,,463.1,0.11,11/2-,10.6,,4,us,0.0000106,0.0000004,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
25.03,,15.272264792145984,0.18594884612002613,X,KpB1,48,61,Cd,,0,,5/2+,461.9,,4,d,39908160,34560,EC,100,,215.1,20,47,62,Ag,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
25.211,,17.929638865979385,0.19814110619813993,X,KB,48,61,Cd,,0,,5/2+,461.9,,4,d,39908160,34560,EC,100,,215.1,20,47,62,Ag,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
25.454,,2.657374073833401,0.09717801723426606,X,KpB2,48,61,Cd,,0,,5/2+,461.9,,4,d,39908160,34560,EC,100,,215.1,20,47,62,Ag,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
26.184,,6.910405986931786,0.2146849448154821,X,KpB1,48,61,Cd,,59.6,0.07,1/2+,11.8,,16,us,0.0000118,0.0000016,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
26.184,,2.2205331138060953,0.03455250874948095,X,KpB1,48,61,Cd,,463.1,0.11,11/2-,10.6,,4,us,0.0000106,0.0000004,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
26.381,,8.16809987655337,0.2513942704338469,X,KB,48,61,Cd,,59.6,0.07,1/2+,11.8,,16,us,0.0000118,0.0000016,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
26.381,,2.6246701405188047,0.03930296980537866,X,KB,48,61,Cd,,463.1,0.11,11/2-,10.6,,4,us,0.0000106,0.0000004,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
26.641,,0.40413702671270935,0.012759903085588931,X,KpB2,48,61,Cd,,463.1,0.11,11/2-,10.6,,4,us,0.0000106,0.0000004,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01
26.641,,1.257693889621585,0.05215856141301654,X,KpB2,48,61,Cd,,59.6,0.07,1/2+,11.8,,16,us,0.0000118,0.0000016,IT,100,,,,48,61,Cd,31-May-2016,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,2026-08-01

