energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1.16,0.03,0.00142,0.00013,0.00000066,1.112,24.56,0.0,E1,,,933,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,IT,1.33,0.08,,,47,63,Ag,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2026-07-24
1.6,0.1,,,,2707.397,,2705.668,M1,,,,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2026-07-24
116.48,0.05,0.008,0.0005,21585312,117.59,0.00000066,1.112,M4,,,164.9,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,IT,1.33,0.08,,,47,63,Ag,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2026-07-24
120.23,0.03,0.0171,0.0009,,2659.857,,2539.672,M1(+E2),-0.1,3,0.28,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2026-07-24
133.333,0.007,0.0746,0.0015,,2926.7465,,2793.420,[M1],,,0.207,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2026-07-24
219.348,0.008,0.073,0.005,,2926.7465,,2707.397,[M1],,,0.0539,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2026-07-24
221.078,0.01,0.0685,0.001,,2926.7465,,2705.668,[M1],,,0.0527,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2026-07-24
229.42,0.022,0.012,0.0013,,2479.933,,2250.549,[E2],,,0.0801,,47,63,Ag,,117.59,0.05,6+,249.83,,4,d,21585312,3456,B-,98.67,0.08,2890.7,13,48,62,Cd,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2026-07-24
255.4,0.3,0.0001,0.00005,,1731.41,,1475.78,E2,,,0.0556,,47,63,Ag,,0,,1+,24.56,,11,s,24.56,0.11,B-,99.7,0.06,2890.7,13,48,62,Cd,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2026-07-24
258.3,0.1,,,,1731.41,,1473.07,E0,,,,,47,63,Ag,,0,,1+,24.56,,11,s,24.56,0.11,B-,99.7,0.06,2890.7,13,48,62,Cd,1-Aug-2011,G. G~URDAL and F.G. KONDEV,2026-07-24
