energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3.571,,8.56584133300504,0.25352182822231023,X,L,50,63,Sn,,0,,1/2+,115.09,,3,d,9943776,2592,EC+B+,100,,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
3.571,,0.56828547648,0.16868394702375353,X,L,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,EC+B+,8.9,2.3,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
3.753,,5.8350323712,0.29664945992830233,X,L,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,IT,91.1,2.3,,,50,63,Sn,1-May-2009,Jean Blachot,2026-08-01
24.001,,27.798688608293656,0.22565212870222495,X,KA2,50,63,Sn,,0,,1/2+,115.09,,3,d,9943776,2592,EC+B+,100,,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
24.001,,1.8765911513463531,0.6256681225357987,X,KA2,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,EC+B+,8.9,2.3,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
24.209,,52.15513810186427,0.34553116453465677,X,KA1,50,63,Sn,,0,,1/2+,115.09,,3,d,9943776,2592,EC+B+,100,,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
24.209,,3.5208089143458783,1.1737452254805685,X,KA1,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,EC+B+,8.9,2.3,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
25.044,,12.685786497535641,0.3842893665440876,X,KA2,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,IT,91.1,2.3,,,50,63,Sn,1-May-2009,Jean Blachot,2026-08-01
25.271,,23.742815829188924,0.7106074724738801,X,KA1,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,IT,91.1,2.3,,,50,63,Sn,1-May-2009,Jean Blachot,2026-08-01
27.367,,14.63356593064907,0.16999851242907366,X,KpB1,50,63,Sn,,0,,1/2+,115.09,,3,d,9943776,2592,EC+B+,100,,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
27.367,,0.9878602809308975,0.32946156710582225,X,KpB1,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,EC+B+,8.9,2.3,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
27.581,,17.413943457472392,0.18225116929646823,X,KB,50,63,Sn,,0,,1/2+,115.09,,3,d,9943776,2592,EC+B+,100,,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
27.581,,1.175553734307768,0.3920144588069731,X,KB,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,EC+B+,8.9,2.3,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
27.858,,2.7803775268233233,0.09355403149043792,X,KpB2,50,63,Sn,,0,,1/2+,115.09,,3,d,9943776,2592,EC+B+,100,,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
27.858,,0.18769345337687052,0.06287768291898745,X,KpB2,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,EC+B+,8.9,2.3,1039.0,16,49,64,In,1-May-2009,Jean Blachot,2026-08-01
28.579,,6.713575332728019,0.21068393905577787,X,KpB1,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,IT,91.1,2.3,,,50,63,Sn,1-May-2009,Jean Blachot,2026-08-01
28.81,,8.036149673275439,0.2489508635221433,X,KB,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,IT,91.1,2.3,,,50,63,Sn,1-May-2009,Jean Blachot,2026-08-01
29.107,,1.3225743405474197,0.05783803666158086,X,KpB2,50,63,Sn,,77.389,0.019,7/2+,21.4,,4,m,1284,24,IT,91.1,2.3,,,50,63,Sn,1-May-2009,Jean Blachot,2026-08-01

