energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
99.73,0.04,0.023744,0.0025538425949928863,,2366.02,,2266.243,E2,,,1.611,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
116.5,1,0.050032,0.020357472534673845,,,,,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
124.65,0.05,0.010176,0.0016987148083183357,,2390.921,,2266.243,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
138.29,0.02,3.69728,0.0916932625660141,0.0000000001,2529.205,,2390.921,M1,,,0.228,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
162.39,0.003,37.2,1.2,2.18,289.658,3264.6,127.267,E3,,,1.716,,49,67,In,,289.66,0.006,8-,2.18,,4,s,2.18,0.04,IT,100,,,,49,67,In,1-Dec-2009,Jean Blachot,2026-08-01
162.6,0.5,0.070384,0.02036282888009424,,,,,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
163.4,0.1,0.015264,0.0017021022295972707,0.0000000001,2529.205,,2366.02,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
165.72,0.1,0.013568,0.001700823330037544,,2390.921,,2225.428,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
196.5,0.5,0.050032,0.020357472534673845,,,,,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
244.98,0.05,0.033072,0.002563060670370485,,3046.126,,2801.206,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
263.03,0.03,0.125504,0.004402210353901776,0.0000000001,2529.205,,2266.243,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
271.96,0.04,0.03816,0.0034110502781401508,,2801.206,0.0000000001,2529.205,,,,,,49,67,In,,127.267,0.006,5+,54.29,,17,m,3257.4,10.2,B-,100,,3276.22,24,50,66,Sn,1-Dec-2009,Jean Blachot,2026-08-01
