energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
26.0867,0.0024,0.0032852,0.00000032852,251.46,163.5591,0.00053,137.4724,(E3),,,3.07E+4,,51,71,Sb,,163.5591,0.0017,(8)-,4.191,,3,m,251.46,0.18,IT,100,,,,51,71,Sb,30-Sep-2006,T. TAMURA,2026-07-24
61.413,0.0005,55.39,0.0055390000000000005,0.0000017,61.4130,,0.0,E1,,,0.743,,51,71,Sb,,163.5591,0.0017,(8)-,4.191,,3,m,251.46,0.18,IT,100,,,,51,71,Sb,30-Sep-2006,T. TAMURA,2026-07-24
76.0595,0.0007,23.302,1.146002369034218,0.00053,137.4724,0.0000017,61.4130,E2,,,4.41,,51,71,Sb,,163.5591,0.0017,(8)-,4.191,,3,m,251.46,0.18,IT,100,,,,51,71,Sb,30-Sep-2006,T. TAMURA,2026-07-24
564.24,0.04,70.68,0.18,,564.26,,0.0,E2,,,0.00591,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
615,0.4,0.0113088,0.004240897791741744,,1179.3,,564.26,E2,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
692.65,0.04,3.85206,0.12760165467579174,,1256.92,,564.26,M1+E2,-3.7,9,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
793.3,0.4,0.0162564,0.004241002074981808,,1357.6,,564.26,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
1140.67,0.04,0.756276,0.03539244376982183,,1140.68,,0.0,E2,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,EC+B+,2.41,0.12,1606,4,50,72,Sn,30-Sep-2006,T. TAMURA,2026-07-24
1188,1,0.0042408,0.0007068825079176879,,1752.3,,564.26,(M1+E2),0.04,3,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
1256.93,0.04,0.81282,0.042458489893070855,,1256.92,,0.0,E2,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
1752.4,1.5,0.0091884,0.0014137936624557348,,1752.3,,0.0,E2,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
511,,0.0122,,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,EC+B+,2.41,0.12,1606,4,50,72,Sn,30-Sep-2006,T. TAMURA,2026-07-24
3.753,,0.16454358572375585,0.010629279039637183,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,EC+B+,2.41,0.12,1606,4,50,72,Sn,30-Sep-2006,T. TAMURA,2026-07-24
3.941,,14.51587807706,,,,,,,,,,,51,71,Sb,,163.5591,0.0017,(8)-,4.191,,3,m,251.46,0.18,IT,100,,,,51,71,Sb,30-Sep-2006,T. TAMURA,2026-07-24
4.135,,0.03319450409390587,0.0014122510403181087,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
25.044,,0.5090613299910798,0.03197674660080362,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,EC+B+,2.41,0.12,1606,4,50,72,Sn,30-Sep-2006,T. TAMURA,2026-07-24
25.271,,0.9527631105953205,0.05968165925243744,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,EC+B+,2.41,0.12,1606,4,50,72,Sn,30-Sep-2006,T. TAMURA,2026-07-24
26.111,,21.375870042184182,,,,,,,,,,,51,71,Sb,,163.5591,0.0017,(8)-,4.191,,3,m,251.46,0.18,IT,100,,,,51,71,Sb,30-Sep-2006,T. TAMURA,2026-07-24
26.359,,39.910138241568674,,,,,,,,,,,51,71,Sb,,163.5591,0.0017,(8)-,4.191,,3,m,251.46,0.18,IT,100,,,,51,71,Sb,30-Sep-2006,T. TAMURA,2026-07-24
27.202,,0.0911287915285517,0.0014096320212502987,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
27.473,,0.16969979800475177,0.0025033050718472655,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
28.579,,0.269405573595121,0.017066145855622536,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,EC+B+,2.41,0.12,1606,4,50,72,Sn,30-Sep-2006,T. TAMURA,2026-07-24
28.81,,0.3224784715933599,0.020364123887064253,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,EC+B+,2.41,0.12,1606,4,50,72,Sn,30-Sep-2006,T. TAMURA,2026-07-24
29.107,,0.05307289799823884,0.003730429965086371,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,EC+B+,2.41,0.12,1606,4,50,72,Sn,30-Sep-2006,T. TAMURA,2026-07-24
29.821,,11.353398054885782,,,,,,,,,,,51,71,Sb,,163.5591,0.0017,(8)-,4.191,,3,m,251.46,0.18,IT,100,,,,51,71,Sb,30-Sep-2006,T. TAMURA,2026-07-24
30.069,,13.70355145224714,,,,,,,,,,,51,71,Sb,,163.5591,0.0017,(8)-,4.191,,3,m,251.46,0.18,IT,100,,,,51,71,Sb,30-Sep-2006,T. TAMURA,2026-07-24
30.387,,2.350153397361357,,,,,,,,,,,51,71,Sb,,163.5591,0.0017,(8)-,4.191,,3,m,251.46,0.18,IT,100,,,,51,71,Sb,30-Sep-2006,T. TAMURA,2026-07-24
31.093,,0.048565126038000464,0.0008887023072822028,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
31.359,,0.059103758388246566,0.0010539391098241327,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24
31.698,,0.0105386323502461,0.00031008836211973093,,,,,,,,,,51,71,Sb,,0,,2-,2.7238,,2,d,235336.32,17.28,B-,97.59,0.12,1979.1,21,52,70,Te,30-Sep-2006,T. TAMURA,2026-07-24

