energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3.941,,12.87608008,0.5019953222738927,X,L,51,73,Sb,,36.844,0.0014,(8)-,20.2,,2,m,1212,12,IT,100,,,,51,73,Sb,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
3.941,,4.91177372,0.38402546590902925,X,L,51,73,Sb,,10.8627,0.0008,5+,93,,5,s,93,5,IT,75,5,,,51,73,Sb,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
4.135,,0.04468014650261055,0.001882944519297341,X,L,51,73,Sb,,0,,3-,60.20,,3,d,5201280,2592,B-,100,,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
4.135,,0.0334788296259,,X,L,51,73,Sb,,10.8627,0.0008,5+,93,,5,s,93,5,B-,25,5,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
27.202,,0.12294919308358099,0.0017364811637133567,X,KA2,51,73,Sb,,0,,3-,60.20,,3,d,5201280,2592,B-,100,,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
27.202,,0.0918444717446314,,X,KA2,51,73,Sb,,10.8627,0.0008,5+,93,,5,s,93,5,B-,25,5,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
27.473,,0.1710325358373024,,X,KA1,51,73,Sb,,10.8627,0.0008,5+,93,,5,s,93,5,B-,25,5,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
27.473,,0.22895566682231097,0.0030529461046069906,X,KA1,51,73,Sb,,0,,3-,60.20,,3,d,5201280,2592,B-,100,,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
31.093,,0.04894653238953672,,X,KpB1,51,73,Sb,,10.8627,0.0008,5+,93,,5,s,93,5,B-,25,5,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
31.093,,0.06552312346316772,0.0011255086468158347,X,KpB1,51,73,Sb,,0,,3-,60.20,,3,d,5201280,2592,B-,100,,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
31.359,,0.07974164125467512,0.0013299874797583786,X,KB,51,73,Sb,,0,,3-,60.20,,3,d,5201280,2592,B-,100,,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
31.359,,0.0595679299180662,,X,KB,51,73,Sb,,10.8627,0.0008,5+,93,,5,s,93,5,B-,25,5,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
31.698,,0.014218517791507396,0.00040863542647998356,X,KpB2,51,73,Sb,,0,,3-,60.20,,3,d,5201280,2592,B-,100,,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24
31.698,,0.010621397528529468,,X,KpB2,51,73,Sb,,10.8627,0.0008,5+,93,,5,s,93,5,B-,25,5,2905.07,13,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-07-24

