energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
4.135,,4.622345508636,0.21876280033306536,X,L,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24
4.335,,7.934537561632,0.6543942386218947,X,L,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24
27.202,,10.699656586258985,0.332512186113192,X,KA2,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24
27.473,,19.924872600109843,0.6122159097905797,X,KA1,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24
28.318,,20.675625756214114,1.668175259183812,X,KA2,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24
28.613,,38.40197948776767,3.093258513022578,X,KA1,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24
31.093,,5.70215144916284,0.18576743726211456,X,KpB1,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24
31.359,,6.939518313631177,0.2242740241682159,X,KB,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24
31.698,,1.2373668644683362,0.049374923219809734,X,KpB2,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24
32.395,,11.063799481254662,0.8990012888052584,X,KpB1,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24
32.68,,13.564218164018216,1.100786454240863,X,KB,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24
33.04,,2.5004186827635535,0.2105706154882427,X,KpB2,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-07-24

