energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
4.335,,7.85593481448412,0.37067100115518115,X,L,53,80,I,,1634.148,0.01,(19/2-),9,,2,s,9,2,IT,100,,,,53,80,I,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
4.54,,0.298,0.018,X,L,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
28.318,,18.932079883731173,0.4336666018080915,X,KA2,53,80,I,,1634.148,0.01,(19/2-),9,,2,s,9,2,IT,100,,,,53,80,I,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
28.613,,35.163595623572014,0.7887501478259149,X,KA1,53,80,I,,1634.148,0.01,(19/2-),9,,2,s,9,2,IT,100,,,,53,80,I,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
29.458,,0.66,0.03,X,KA2,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
29.778,,1.22,0.05,X,KA1,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
32.395,,10.13080513578859,0.25174276608161583,X,KpB1,53,80,I,,1634.148,0.01,(19/2-),9,,2,s,9,2,IT,100,,,,53,80,I,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
32.68,,12.420367096476811,0.30445153934725944,X,KB,53,80,I,,1634.148,0.01,(19/2-),9,,2,s,9,2,IT,100,,,,53,80,I,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
33.04,,2.2895619606882214,0.07617573240487714,X,KpB2,53,80,I,,1634.148,0.01,(19/2-),9,,2,s,9,2,IT,100,,,,53,80,I,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
33.726,,0.355,0.015,X,KpB1,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
34.03,,0.439,0.019,X,KB,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
34.414,,0.084,0.004,X,KpB2,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24

