energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
4.54,,5.937744032,1.2831728270955534,X,L,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
4.749,,5.817938627574736,0.2931907306686286,X,L,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
29.458,,11.24494469213099,3.5828685249313694,X,KA2,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
29.778,,20.831687091758038,6.636698782993635,X,KA1,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
30.625,,13.58900495116634,0.24606863115151884,X,KA2,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
30.973,,25.104387495226934,0.4395534993682928,X,KA1,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
33.726,,6.0390228285687515,1.9250904130403568,X,KpB1,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
34.03,,7.464232216110977,2.3792201523996193,X,KB,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
34.414,,1.4252093875422254,0.45532364599860814,X,KpB2,54,79,Xe,,233.221,0.015,11/2-,2.198,,13,d,189907.2,1123.2,IT,100,,,,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
35.089,,7.3343263174111994,0.15096674119270398,X,KpB1,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
35.414,,9.123901938859532,0.18418745284536073,X,KB,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24
35.818,,1.7895756214483327,0.05197779310450138,X,KpB2,54,79,Xe,,0,,3/2+,5.2475,,5,d,453384,43.2,B-,100,,427.4,24,55,78,Cs,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-07-24

