energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
66.881,0.017,4.7856,0.1994577649528842,0.0000000031,2207.134,0.0000000016,2140.225,E1(+M2),0.008,LE,0.689,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
86.36,0.03,5.8823,0.6979249386574462,0.0000000016,2140.225,,2053.879,E1,,,0.341,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
104.8,,,,,104.8,1124064,0.0,(E2),,,1.581,,55,81,Cs,,517.9,0.1,8-,17.5,,2,s,17.5,0.2,IT,0,,,,55,81,Cs,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
109.681,0.007,0.40877,0.01994421470000762,0.0000000016,2140.225,,2030.523,E2,,,1.39,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
153.246,0.004,7.6769,0.4985594648585061,0.0000000031,2207.134,,2053.879,E2,,,0.430,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
163.92,0.002,4.6859,0.19945538348212113,,2030.523,,1866.599,E3,,,2.23,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
166.576,0.006,0.62811,0.02991663416897028,,2373.748,0.0000000031,2207.134,M1(+E2),0.3,3,0.243,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
176.602,0.004,13.6589,0.2994135935457841,0.0000000031,2207.134,,2030.523,E1+M2,0.07,5,0.053,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
187.285,0.006,0.53838,0.04985292468852755,,2053.879,,1866.599,M1+E2,0.8,4,0.188,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
233.5,0.4,0.07976,0.009970320957722474,,2373.748,0.0000000016,2140.225,[E1],,,0.0221,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
273.646,0.008,12.6619,0.19980402898840655,0.0000000016,2140.225,,1866.599,E1+M2,0.07,5,0.016,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
302.4,0.4,0.02991,0.009970045135304051,,2356.57,,2053.879,M1(+E2),0.3,4,0.0472,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
315.5,0.5,0.01994,0.017946011144541286,,1866.599,,1551.31,[E2],,,0.0385,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
319.911,0.008,0.4985,0.06979179106456575,,2373.748,,2053.879,M1+E2,0.30,1,0.0407,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
340.547,0.008,46.7593,0.5007013680828124,0.0000000031,2207.134,,1866.599,E2,,,0.0304,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
413.1,0.3,,,17.5,517.9,,104.8,M4,,,0.64,,55,81,Cs,,517.9,0.1,8-,17.5,,2,s,17.5,0.2,IT,0,,,,55,81,Cs,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
490,0.2,0.07976,0.019940160480798545,,2356.57,,1866.599,M1+E2,,,0.0121,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
507.188,0.01,0.997,0.04986002908141952,,2373.748,,1866.599,M1+E2,0.70,1,0.01164,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
517.9,0.1,,,17.5,517.9,1124064,0.0,E3,,,0.0237,,55,81,Cs,,517.9,0.1,8-,17.5,,2,s,17.5,0.2,IT,0,,,,55,81,Cs,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
733,0.5,0.01994,0.00002,,1551.31,,818.517,M1+E2,-1.00,4,0.00443,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
818.514,0.012,99.7,0.1,,818.517,,0.0,E2,,,0.00283,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
1048.073,0.02,79.76,2.9920696850173796,,1866.599,,818.517,E2,,,1.64E-3,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
1235.362,0.023,20.0397,0.6981893869144675,,2053.879,,818.517,E2,,,1.17E-3,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
1321.58,0.4,0.04985,0.01994006268796565,0.0000000016,2140.225,,818.517,[E3],,,0.0019,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
1538.09,0.2,0.0997,0.019940250750680143,,2356.57,,818.517,E2,,,8.45E-4,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
1551.3,0.2,0.014955,0.004985022567652026,,1551.31,,0.0,E2,,,8.37E-4,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
4.966,,2.114047614236723,0.10879204277056828,,,,,,,,,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
31.816,,3.7114957415493737,0.12223608967722241,,,,,,,,,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
32.193,,6.837685596074749,0.2229825168008491,,,,,,,,,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
36.482,,2.011253662372906,0.06902676315604717,,,,,,,,,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
36.827,,2.5180895852908782,0.08583442445350253,,,,,,,,,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01
37.255,,0.5068359229179723,0.020092427980602626,,,,,,,,,,55,81,Cs,,0,,5+,13.01,,5,d,1124064,4320,B-,100,,2548.2,19,56,80,Ba,1-Apr-2018,E.A. MCCUTCHAN,2026-09-01

