energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
5.637,,10.45913827464,0.45784051848793694,X,L,59,85,Pr,,59.03,0.03,3-,7.2,,3,m,432,18,IT,99.93,,,,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2026-07-24
5.87,,0.000831020311140712,0.000037819333042265754,X,L,59,85,Pr,,0,,0-,17.28,,5,m,1036.8,3,B-,100,,2997.4,24,60,84,Nd,1-Dec-2000,A.A. Sonzogni,2026-07-24
35.551,,8.656884903129418,0.2658432621296394,X,KA2,59,85,Pr,,59.03,0.03,3-,7.2,,3,m,432,18,IT,99.93,,,,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2026-07-24
36.027,,15.80877447613115,0.4800749772643175,X,KA1,59,85,Pr,,59.03,0.03,3-,7.2,,3,m,432,18,IT,99.93,,,,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2026-07-24
36.848,,0.0015262748889599332,0.000028067859342550387,X,KA2,59,85,Pr,,0,,0-,17.28,,5,m,1036.8,3,B-,100,,2997.4,24,60,84,Nd,1-Dec-2000,A.A. Sonzogni,2026-07-24
37.362,,0.0027795936786740726,0.00004952476751070636,X,KA1,59,85,Pr,,0,,0-,17.28,,5,m,1036.8,3,B-,100,,2997.4,24,60,84,Nd,1-Dec-2000,A.A. Sonzogni,2026-07-24
40.857,,4.80937205472885,0.1549452257032117,X,KpB1,59,85,Pr,,59.03,0.03,3-,7.2,,3,m,432,18,IT,99.93,,,,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2026-07-24
41.266,,6.040571300739435,0.19311983075845038,X,KB,59,85,Pr,,59.03,0.03,3-,7.2,,3,m,432,18,IT,99.93,,,,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2026-07-24
41.766,,1.2311992460105856,0.046385787502912834,X,KpB2,59,85,Pr,,59.03,0.03,3-,7.2,,3,m,432,18,IT,99.93,,,,59,85,Pr,1-Dec-2000,A.A. Sonzogni,2026-07-24
42.38,,0.000853637587155445,0.00001772847158691898,X,KpB1,59,85,Pr,,0,,0-,17.28,,5,m,1036.8,3,B-,100,,2997.4,24,60,84,Nd,1-Dec-2000,A.A. Sonzogni,2026-07-24
42.81,,0.0010730224470543942,0.000021872126690799117,X,KB,59,85,Pr,,0,,0-,17.28,,5,m,1036.8,3,B-,100,,2997.4,24,60,84,Nd,1-Dec-2000,A.A. Sonzogni,2026-07-24
43.335,,0.00021938485989894937,0.000006243119685621174,X,KpB2,59,85,Pr,,0,,0-,17.28,,5,m,1036.8,3,B-,100,,2997.4,24,60,84,Nd,1-Dec-2000,A.A. Sonzogni,2026-07-24

