energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
6.354,,27.792241131192,7.0437511674245545,X,L,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-07-24
6.603,,10.745360592231657,0.4612899452944941,X,L,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-07-24
39.522,,2.072422430383787,0.3054704431582718,X,KA2,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-07-24
40.117,,3.7509908242240484,0.5526270988302208,X,KA1,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-07-24
40.901,,16.646127592882905,0.2229878089844019,X,KA2,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-07-24
41.541,,30.036318283801705,0.37885984975610465,X,KA1,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-07-24
45.523,,1.1725521282926588,0.17322128097977532,X,KpB1,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-07-24
45.998,,1.4750705773921646,0.2178334907181509,X,KB,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-07-24
46.575,,0.302518449099506,0.045074000618683975,X,KpB2,62,91,Sm,,98.39,0.1,11/2-,10.6,,3,ms,0.0106,0.0003,IT,100,,,,62,91,Sm,16-Aug-2020,N. NICA,2026-07-24
47.146,,9.462657947976611,0.15728161600514903,X,KpB1,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-07-24
47.645,,11.904023698554576,0.1921201192475577,X,KB,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-07-24
48.248,,2.441365750577966,0.06233117024569857,X,KpB2,62,91,Sm,,0,,3/2+,46.284,,4,h,166622.4,14.4,B-,100,,807.4,7,63,90,Eu,16-Aug-2020,N. NICA,2026-07-24

