energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
6.354,,0.00441850550892,0.001647457240144455,X,L,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,EC+B+,0.018,0.012,717.2,18,62,92,Sm,1-May-2008,C. W. Reich,2026-09-01
6.603,,29.35806406848,4.093323896427262,X,L,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-09-01
6.858,,7.1129445743422,0.2589488349036007,X,L,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,B-,99.982,0.012,1968.0,8,64,90,Gd,1-May-2008,C. W. Reich,2026-09-01
39.522,,0.005703909590719148,0.0028308673504046458,X,KA2,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,EC+B+,0.018,0.012,717.2,18,62,92,Sm,1-May-2008,C. W. Reich,2026-09-01
40.117,,0.010323818263745064,0.005123528855635538,X,KA1,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,EC+B+,0.018,0.012,717.2,18,62,92,Sm,1-May-2008,C. W. Reich,2026-09-01
40.901,,8.084213325986237,0.9132488247693341,X,KA2,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-09-01
41.541,,14.587176697918146,1.6465543369939684,X,KA1,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-09-01
42.308,,7.319353222706885,0.13728139732921163,X,KA2,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,B-,99.982,0.012,1968.0,8,64,90,Gd,1-May-2008,C. W. Reich,2026-09-01
42.996,,13.166672463944748,0.23974938425907635,X,KA1,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,B-,99.982,0.012,1968.0,8,64,90,Gd,1-May-2008,C. W. Reich,2026-09-01
45.523,,0.0032272046625880643,0.0016019901855750622,X,KpB1,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,EC+B+,0.018,0.012,717.2,18,62,92,Sm,1-May-2008,C. W. Reich,2026-09-01
45.998,,0.004059823465535785,0.0020152390539026335,X,KB,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,EC+B+,0.018,0.012,717.2,18,62,92,Sm,1-May-2008,C. W. Reich,2026-09-01
46.575,,0.0008326188029477206,0.0004136283283069438,X,KpB2,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,EC+B+,0.018,0.012,717.2,18,62,92,Sm,1-May-2008,C. W. Reich,2026-09-01
47.146,,4.5955520318725105,0.5211110745193496,X,KpB1,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-09-01
47.645,,5.781204456095618,0.6551549146493189,X,KB,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-09-01
48.248,,1.1856524242231077,0.13639604503498123,X,KpB2,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-09-01
48.802,,4.162085662070316,0.08802774442345764,X,KpB1,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,B-,99.982,0.012,1968.0,8,64,90,Gd,1-May-2008,C. W. Reich,2026-09-01
49.326,,5.256714191194809,0.10921403425022377,X,KB,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,B-,99.982,0.012,1968.0,8,64,90,Gd,1-May-2008,C. W. Reich,2026-09-01
49.957,,1.094628529124493,0.03112967184555486,X,KpB2,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,B-,99.982,0.012,1968.0,8,64,90,Gd,1-May-2008,C. W. Reich,2026-09-01

