energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
7.656,,25.132015038,3.7480298648812282,X,L,67,99,Ho,,190.9021,0.002,3+,185,,15,us,0.000185,0.000015,IT,100,,,,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
7.933,,7.53025253038933,0.34540262038848424,X,L,67,99,Ho,,0,,0-,26.824,,12,h,96566.4,43.2,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
7.933,,18.97575813103587,0.8150582026467443,X,L,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
46.7,,6.449011094553517,1.9120280229392945,X,KA2,67,99,Ho,,190.9021,0.002,3+,185,,15,us,0.000185,0.000015,IT,100,,,,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
47.547,,11.485326971600207,3.404830656974007,X,KA1,67,99,Ho,,190.9021,0.002,3+,185,,15,us,0.000185,0.000015,IT,100,,,,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
48.222,,10.492833958075561,0.1315158241364294,X,KA2,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
48.222,,2.9514799446074687,0.07334810877644196,X,KA2,67,99,Ho,,0,,0-,26.824,,12,h,96566.4,43.2,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
49.128,,5.238693547404098,0.12809618105630635,X,KA1,67,99,Ho,,0,,0-,26.824,,12,h,96566.4,43.2,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
49.128,,18.624128431089034,0.21831410120360253,X,KA1,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
53.982,,3.710699947497045,1.1007923256946432,X,KpB1,67,99,Ho,,190.9021,0.002,3+,185,,15,us,0.000185,0.000015,IT,100,,,,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
54.577,,4.675481933846276,1.3868742322616077,X,KB,67,99,Ho,,190.9021,0.002,3+,185,,15,us,0.000185,0.000015,IT,100,,,,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
55.293,,0.9647819863492317,0.28680674585466887,X,KpB2,67,99,Ho,,190.9021,0.002,3+,185,,15,us,0.000185,0.000015,IT,100,,,,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
55.779,,1.7023860615538327,0.045596249167072375,X,KpB1,67,99,Ho,,0,,0-,26.824,,12,h,96566.4,43.2,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
55.779,,6.05216861089064,0.09700081840001339,X,KpB1,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
56.399,,2.145006437557829,0.05681721500542214,X,KB,67,99,Ho,,0,,0-,26.824,,12,h,96566.4,43.2,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
56.399,,7.625732449722206,0.11841563174394744,X,KB,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
57.145,,1.5735638388315665,0.03939261041409494,X,KpB2,67,99,Ho,,5.969,0.012,7-,1.20E3,,18,Y,37868311169.5104,5680246675.42656,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24
57.145,,0.4426203760039965,0.014594333495582038,X,KpB2,67,99,Ho,,0,,0-,26.824,,12,h,96566.4,43.2,B-,100,,1853.8,8,68,98,Er,1-Mar-2008,CORAL M. BAGLIN,2026-07-24

