energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3.9,0.1,0.0017,0.0008,0.00000000087,618.92,0.0000176,615.12,[M1],,,2684,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
6.3,0.3,0.0115115,0.0004065440812507298,,6.12,,0.0,E1,,,70.5,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
133.021,0.019,43.309,0.5287722004795637,0.0000176,615.12,0.0000000108,482.10,E2,,,1.27,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
136.26,0.018,5.85235,0.18741976656692325,,136.252,,0.0,M1+E2,0.396,11,1.75,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
136.86,0.04,0.86135,0.1851994624722221,0.00000000087,618.92,0.0000000108,482.10,M1,,,1.83,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
345.93,0.06,15.1179,0.12237064353839118,0.0000000108,482.10,,136.252,E2,,,0.0544,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
475.99,0.09,0.702765,0.006629275148913341,0.0000000108,482.10,,6.12,M2+E3,0.5,1,0.168,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
482.18,0.09,80.5,0.41557344717871475,0.0000000108,482.10,,0.0,M1+E2,4.76,4,0.0295,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
615.17,0.11,0.23345,0.01774794917729933,0.0000176,615.12,,0.0,M3(+E4),,,0.194,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
618.66,0.08,0.0250355,0.001213891103023661,0.00000000087,618.92,,0.0,(E2),,,0.0122,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
9.424,,14.950873547566806,0.631625722131008,,,,,,,,,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
56.28,,9.051587458925688,0.16710672471671356,,,,,,,,,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
57.535,,15.780312864235858,0.28309478372887326,,,,,,,,,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
65.315,,5.220564871089869,0.12345824791985659,,,,,,,,,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
66.067,,6.630117386284134,0.15460390014682224,,,,,,,,,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01
66.981,,1.4095525151942647,0.04233786474224547,,,,,,,,,,72,109,Hf,,0,,1/2-,42.39,,6,d,3662496,5184,B-,100,,1036.1,19,73,108,Ta,31-Aug-2005,S. -C. WU,2026-09-01

