energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
16.273,0.004,0.00232,,0.283,16.273,,0.0,(M2),,,4.30E4,,73,109,Ta,,16.273,0.004,5+,283,,3,ms,0.283,0.003,IT,100,,,,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2026-07-24
16.273,0.004,0.002256,0.00009400000000000001,,16.273,,0.0,(M2),,,4.30E4,,73,109,Ta,,519.577,0.016,10-,15.84,,10,m,950.4,6,IT,100,,,,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2026-07-24
31.7377,0.0005,0.873952,0.021236878113319764,0.00000000112,1289.1498,0.00000000000171,1257.4121,E1,,,1.628,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
42.7148,0.0004,0.267824,0.005671086188729633,0.000000000078,1373.8301,0.0000000006,1331.1153,E1,,,0.720,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
44.66,0.11,0.029954,0.005991185912655356,0.000000000049,1487.5018,0.00000000000032,1442.836,[E1],,,0.637,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
65.72215,0.00015,3.01302,0.03244518848766331,0.00000000127,1553.2240,0.000000000049,1487.5018,M1+E2,0.093,6,2.91,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
67.7497,0.0001,42.92232,0.3656231852604536,0.00000000112,1289.1498,0.000000000000434,1221.4001,E1,,,0.202,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
84.68024,0.00026,2.653572,0.018621304358180713,0.000000000078,1373.8301,0.00000000112,1289.1498,M1+E2,0.326,11,7.66,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
100.10595,0.00007,14.20172,0.11052663027524182,0.0000000014,100.10598,,0.0,E2,,,3.89,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
110.393,0.012,0.107482,0.0031809719520926303,0.00000000127,1553.2240,0.00000000000032,1442.836,[E1],,,0.290,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
113.6717,0.00022,1.8708916,0.009464127302609576,0.000000000049,1487.5018,0.000000000078,1373.8301,M1+E2,0.36,1,3.18,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
116.4179,0.0006,0.444024,0.0036653294531324193,0.000000000078,1373.8301,0.00000000000171,1257.4121,E1,,,0.253,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
121.5,,0.00236108,0.0006343426455788701,0.00000000000171,1257.4121,,1135.91,[E2],,,1.83,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
146.785,0.015,36.48,2.448836458402235,0.00000000003,163.050,,16.273,M1,,,1.460,,73,109,Ta,,519.577,0.016,10-,15.84,,10,m,950.4,6,IT,100,,,,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2026-07-24
152.42991,0.00026,7.016284,0.038672455106962114,0.000000000078,1373.8301,0.000000000000434,1221.4001,E1,,,0.1258,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
156.3864,0.0003,2.671192,0.012187669178312972,0.000000000049,1487.5018,0.0000000006,1331.1153,E1,,,0.1177,,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-07-24
