energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
9.424,,57.979132376064,2.9572332379152377,X,L,73,109,Ta,,519.577,0.016,10-,15.84,,10,m,950.4,6,IT,100,,,,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2026-09-01
9.424,,20.2912,0.8489606115715852,X,L,73,109,Ta,,16.273,0.004,5+,283,,3,ms,0.283,0.003,IT,100,,,,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2026-09-01
9.74,,23.560870297331853,0.9387240243854703,X,L,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-09-01
56.28,,26.895126843391093,1.014589928753706,X,KA2,73,109,Ta,,519.577,0.016,10-,15.84,,10,m,950.4,6,IT,100,,,,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2026-09-01
57.535,,46.88829644942659,1.7569658730934186,X,KA1,73,109,Ta,,519.577,0.016,10-,15.84,,10,m,950.4,6,IT,100,,,,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2026-09-01
57.983,,10.052568389560236,0.12552949866363808,X,KA2,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-09-01
59.32,,17.461470192044878,0.2044373273209954,X,KA1,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-09-01
65.315,,15.511948046600255,0.6284758387447686,X,KpB1,73,109,Ta,,519.577,0.016,10-,15.84,,10,m,950.4,6,IT,100,,,,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2026-09-01
66.067,,19.700174019182324,0.7943870346141247,X,KB,73,109,Ta,,519.577,0.016,10-,15.84,,10,m,950.4,6,IT,100,,,,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2026-09-01
66.981,,4.188225972582069,0.18657355747451376,X,KpB2,73,109,Ta,,519.577,0.016,10-,15.84,,10,m,950.4,6,IT,100,,,,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2026-09-01
67.335,,5.787882527370621,0.1117417378345419,X,KpB1,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-09-01
68.117,,7.373762339870171,0.13938646948290964,X,KB,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-09-01
69.068,,1.5858798124995501,0.04212961849164268,X,KpB2,73,109,Ta,,0,,3-,114.74,,12,d,9913536,10368,B-,100,,1815.5,15,74,108,W,15-Jul-2015,BALRAJ SINGH,2026-09-01

