energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
7.1,0.3,0.003652,0.0009975174183942854,0.00000000054,625.517,0.00000000005,618.370,M1(+E2),0.03,LE,6.6E2,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
16.45,0.16,0.009296,0.005645736090183458,,,,,,,,,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
29.23,0.03,0.005976,0.0013310462050582616,0.00000000005,618.370,,589.145,[M1],,,32.8,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
36.38,0.03,0.008964,0.0010051074569417937,0.00000000005,618.370,,581.99,M1+E2,0.12,5,23,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
40.75,0.2,0.002324,0.0006649217999133432,,1000.93,,960.17,[E1 M1],,,7,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
43.66,0.05,0.002324,0.0006649217999133432,,816.562,,772.876,[M1],,,10.04,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
65.4,,,,,647.31,,581.99,[M1 E2],,,14,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
70.2,,0.00664,0.0001,,581.99,,511.768,[E2],,,17.50,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
72.002,0.004,13.5456,0.20668391325886976,0.0000005553,206.252,,134.247,E1(+M2),-0.008,11,0.960,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
77.37,0.05,0.008632,0.0019962374608247387,,589.145,,511.768,M1,,,10.77,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
93.22,0.04,0.005976,0.0010000579983180976,,718.73,0.00000000054,625.517,[M1 E2],,,5.9,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
100.38,0.24,0.010624,0.0010087695475181633,,718.73,0.00000000005,618.370,[M1 E2],,,4.6,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
103.8,,0.010624,0.00036854307753639873,0.0000000000115,685.797,,581.99,[E1],,,0.348,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
106.596,0.013,0.030876,0.000810630001912093,,879.456,,772.876,[E2],,,3.19,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
106.596,0.013,0.030876,0.000810630001912093,0.00000000005,618.370,,511.768,M1+E2,0.9,2,3.81,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
113.746,0.008,0.091964,0.0019188040546131854,0.00000000054,625.517,,511.768,M1,,,3.57,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
115.5,,0.005644,0.00034270833080040524,,960.17,,844.7,[E2],,,2.33,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
123.66,0.12,0.002988,0.0006655231025291308,,1003.14,,879.456,[M1 E2],,,2.3,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
134.247,0.007,10.3584,0.20487030043420154,,134.247,,0.0,M1+E2,0.167,7,2.20,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
138.5,0.05,0.005312,0.001993605778482797,,1003.14,,864.556,[M1 E2],,,1.6,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
141.22,,0.007968,0.00012,,826.84,0.0000000000115,685.797,[E1],,,0.1572,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
147.3,,,,,772.876,0.00000000054,625.517,[M1 E2],,,1.3,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
154.4,,0.0166,0.0007095040521378296,,772.876,0.00000000005,618.370,[M1 E2],,,1.1,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
165.7,0.4,0.000996,0.0003323386826717588,,933.62,,767.8,,,,,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
168.5,0.4,0.002988,0.0009970160480152765,,303.13,,134.247,M1+E2,0.168,7,1.155,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
178.8,,0.01328,0.0066430113653372595,,864.556,0.0000000000115,685.797,[E1],,,0.0857,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
191.1,,,,,816.562,0.00000000054,625.517,[E2],,,0.373,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
198.34,0.12,0.001992,0.0006646773653435176,,816.562,0.00000000005,618.370,[M1 E2],,,0.54,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
201.3,,,,,826.84,0.00000000054,625.517,[M1 E2],,,0.51,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
206.247,0.019,0.15272,0.01675857989210303,0.0000005553,206.252,,0.0,M2+E3,-0.07,1,3.35,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
208.29,0.16,0.000996,0.0003323386826717588,,826.84,0.00000000005,618.370,[M1 E2],,,0.46,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
239.13,0.08,0.0996,0.003643130521954985,,864.556,0.00000000054,625.517,M1+E2,-0.53,16,0.38,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
246.2,0.04,0.13612,0.010168780654532774,,864.556,0.00000000005,618.370,M1+E2,0.50,15,0.359,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
261,,0.01328,0.0033260186409579846,,772.876,,511.768,[M1 E2],,,0.24,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
262.7,,0.01328,0.0033260186409579846,,844.7,,581.99,[E2],,,0.1321,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
275.61,0.12,0.002656,0.0006652037281915969,,864.556,,589.145,[M1 E2],,,0.21,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
303,,0.0005644,0.00009996204279625341,,303.13,,0.0,E2,,,0.0855,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
345.7,,,,,1190.46,,844.7,[E2],,,0.0583,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
352.86,0.17,0.0018924,0.0007309558194583309,,864.556,,511.768,[M1 E2],,,0.10,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
374.31,0.14,0.002988,0.0009970160480152765,,1190.46,,816.562,[M1 E2],,,0.09,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
375.93,0.13,0.004316,0.0009981187304123694,,581.99,0.0000005553,206.252,[M2],,,0.454,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
454.92,0.02,0.036188,0.001747176293337338,,589.145,,134.247,E2,,,0.0278,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
479.53,0.01,26.5932,0.4126989338488773,0.0000000000115,685.797,0.0000005553,206.252,E2,,,0.0243,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
484.15,0.03,0.020916,0.0010446248130309753,0.00000000005,618.370,,134.247,[E2],,,0.0237,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
491.2,,0.02988,0.009970160480152765,0.00000000054,625.517,,134.247,,,,,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
511.76,0.01,0.80676,0.01799946943662507,,511.768,,0.0,E2,,,0.0206,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
551.55,0.01,6.13536,0.09527779174603072,0.0000000000115,685.797,,134.247,E1(+M2),0.001,5,0.00599,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
564.62,0.19,0.014608,0.005316553771006177,,1190.46,0.00000000054,625.517,[E2],,,0.01629,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
573.71,0.14,0.0006308,0.00019942640246466866,,1220.8,,647.3,,,,,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
576.31,0.08,0.007968,0.0010032028708092896,,879.456,,303.13,[E2],,,0.01552,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
578.72,0.11,0.001162,0.00043195463882218,,,,,,,,,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
582,,0.130808,0.00197,,581.99,,0.0,[E2],,,0.01517,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
589.06,0.05,0.150064,0.0028041397968004375,,589.145,,0.0,M1(+E2),,,0.036,,74,113,W,,0,,3/2-,23.80,,3,h,85680,108,B-,100,,1312.5,11,75,112,Re,1-Nov-2008,M. S. Basunia,2026-09-01
