energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
10.393,,1.502676758200464,0.062219627312248775,X,L,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,EC,4.76,0.04,1046.7,27,76,116,Os,15-Jun-2012,Coral M. Baglin,2026-09-01
10.728,,42.658529562,1.7619869491806222,X,L,77,115,Ir,,168.14,0.12,(11-),241,,9,Y,7605219159.876672,284012333.771328,IT,100,,,,77,115,Ir,15-Jun-2012,Coral M. Baglin,2026-09-01
10.728,,23.1872415225,0.9787776356158199,X,L,77,115,Ir,,56.72,0.005,1-,1.45,,5,m,87,3,IT,99.9825,,,,77,115,Ir,15-Jun-2012,Coral M. Baglin,2026-09-01
11.07,,3.924516498922746,0.1572818790253144,X,L,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01
11.07,,2.5795701309174,0.10390132349647033,X,L,77,115,Ir,,56.72,0.005,1-,1.45,,5,m,87,3,B-,0.0175,,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01
61.486,,1.1984259258336007,0.02319386205045629,X,KA2,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,EC,4.76,0.04,1046.7,27,76,116,Os,15-Jun-2012,Coral M. Baglin,2026-09-01
63,,2.0651833979555416,0.038965920671923504,X,KA1,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,EC,4.76,0.04,1046.7,27,76,116,Os,15-Jun-2012,Coral M. Baglin,2026-09-01
63.287,,0.1780163292725233,0.004074061324825491,X,KA2,77,115,Ir,,168.14,0.12,(11-),241,,9,Y,7605219159.876672,284012333.771328,IT,100,,,,77,115,Ir,15-Jun-2012,Coral M. Baglin,2026-09-01
64.896,,0.305502538652005,0.006867738237643711,X,KA1,77,115,Ir,,168.14,0.12,(11-),241,,9,Y,7605219159.876672,284012333.771328,IT,100,,,,77,115,Ir,15-Jun-2012,Coral M. Baglin,2026-09-01
65.122,,1.725666769611762,0.023312255235185778,X,KA2,77,115,Ir,,56.72,0.005,1-,1.45,,5,m,87,3,B-,0.0175,,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01
65.122,,2.6542601519743005,0.03330997131572616,X,KA2,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01
66.832,,4.53719684098171,0.05353705118756054,X,KA1,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01
66.832,,2.949857725832072,0.03780352084887711,X,KA1,77,115,Ir,,56.72,0.005,1-,1.45,,5,m,87,3,B-,0.0175,,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01
71.496,,0.6909672865209825,0.016735396744390684,X,KpB1,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,EC,4.76,0.04,1046.7,27,76,116,Os,15-Jun-2012,Coral M. Baglin,2026-09-01
72.338,,0.8844381267468576,0.021140873550834757,X,KB,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,EC,4.76,0.04,1046.7,27,76,116,Os,15-Jun-2012,Coral M. Baglin,2026-09-01
73.364,,0.1934708402258751,0.005821825959672769,X,KpB2,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,EC,4.76,0.04,1046.7,27,76,116,Os,15-Jun-2012,Coral M. Baglin,2026-09-01
73.637,,0.10250750746334505,0.0027777678700315403,X,KpB1,77,115,Ir,,168.14,0.12,(11-),241,,9,Y,7605219159.876672,284012333.771328,IT,100,,,,77,115,Ir,15-Jun-2012,Coral M. Baglin,2026-09-01
74.51,,0.1315171320754717,0.003526828416525916,X,KB,77,115,Ir,,168.14,0.12,(11-),241,,9,Y,7605219159.876672,284012333.771328,IT,100,,,,77,115,Ir,15-Jun-2012,Coral M. Baglin,2026-09-01
75.576,,0.02900962461212665,0.0009384353988620094,X,KpB2,77,115,Ir,,168.14,0.12,(11-),241,,9,Y,7605219159.876672,284012333.771328,IT,100,,,,77,115,Ir,15-Jun-2012,Coral M. Baglin,2026-09-01
75.821,,1.52664677999766,0.029228038422196807,X,KpB1,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01
75.821,,0.9925491347248574,0.0196400412074498,X,KpB1,77,115,Ir,,56.72,0.005,1-,1.45,,5,m,87,3,B-,0.0175,,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01
76.725,,1.9632677590769907,0.03680401689903856,X,KB,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01
76.725,,1.2764181872561666,0.02476473100651171,X,KB,77,115,Ir,,56.72,0.005,1-,1.45,,5,m,87,3,B-,0.0175,,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01
77.832,,0.28386905253130923,0.007495339577374913,X,KpB2,77,115,Ir,,56.72,0.005,1-,1.45,,5,m,87,3,B-,0.0175,,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01
77.832,,0.4366209790793308,0.011320017750594763,X,KpB2,77,115,Ir,,0,,4+,73.829,,11,d,6378825.6,950.4,B-,95.24,0.04,1452.9,23,78,114,Pt,15-Jun-2012,Coral M. Baglin,2026-09-01

