energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
11.419,,57.3458926502,4.009346105306688,X,L,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01
11.777,,1.1924050708503529,0.049443924741080884,X,L,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01
66.991,,24.410769081240037,1.221970542205918,X,KA2,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01
68.806,,41.55731883084787,2.0727714843529577,X,KA1,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01
68.894,,0.8074709248017369,0.014500325307967729,X,KA2,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01
70.82,,1.3688267923406288,0.023886655018281657,X,KA1,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01
78.048,,14.022696732282458,0.7304519061682827,X,KpB1,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01
78.983,,18.075256087912088,0.938938348850832,X,KB,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01
80.133,,4.05255935562963,0.22243957445595902,X,KpB2,79,119,Au,,811.9,1.5,(12-),2.272,,16,d,196300.8,1382.4,IT,100,,,,79,119,Au,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01
80.316,,0.46454614843874176,0.010664743135542795,X,KpB1,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01
81.285,,0.6006581699312931,0.01359248274630368,X,KB,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01
82.477,,0.13611202149255133,0.003893489953847928,X,KpB2,79,119,Au,,0,,2-,2.6941,,2,d,232770.24,17.28,B-,100,,1373.5,5,80,118,Hg,1-Dec-2015,Huang Xiaolong and Kang Mengxiao,2026-08-01

