energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
11.777,,42.2,1.7,X,L,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2026-07-24
12.148,,5.61988854994,0.2654634422084423,X,L,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2026-07-24
68.894,,27,0.3,X,KA2,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2026-07-24
70.82,,45.8,0.4,X,KA1,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2026-07-24
70.832,,3.8386132731699147,0.12507910319265156,X,KA2,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2026-07-24
72.874,,6.4797658223665,0.20936132112792685,X,KA1,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2026-07-24
80.316,,15.5,0.3,X,KpB1,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2026-07-24
81.285,,20.1,0.3,X,KB,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2026-07-24
82.477,,4.55,0.11,X,KpB2,81,120,Tl,,0,,1/2+,3.0420,,16,d,262828.8,138.24,EC,100,,482,14,80,121,Hg,20-Sep-2022,F.G. KONDEV,2026-07-24
82.629,,2.203693916317338,0.07837407992122633,X,KpB1,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2026-07-24
83.631,,2.858191009463587,0.1010522442131441,X,KB,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2026-07-24
84.866,,0.6544970931462494,0.025753254885093155,X,KpB2,81,120,Tl,,919.47,0.11,(9/2-),2.11,,11,ms,0.00211,0.00011,IT,100,,,,81,120,Tl,20-Sep-2022,F.G. KONDEV,2026-07-24

