energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
15,3,,,,,,,,,,,,87,136,Fr,,0,,3/2(-),22.00,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2026-08-01
20.27,0.05,1.59,0.35160204777560666,,50.093,,29.859,[E1],,,7.76,,87,136,Fr,,0,,3/2(-),22.00,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2026-08-01
23,5,,,,174,,150.9,,,,,,87,136,Fr,,0,,3/2(-),22.00,,7,m,1320,4.2,A,0.006,,5561.4,28,85,134,At,19-May-2021,Balraj Singh et al. and ,2026-08-01
24.14,0.03,0.285,0.06074537019394976,,,,,,,,,,87,136,Fr,,0,,3/2(-),22.00,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2026-08-01
27.27,0.03,0.069,0.018287700784953804,,,,,,,,,,87,136,Fr,,0,,3/2(-),22.00,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2026-08-01
29.6,0.03,0.024,0.004805996254680188,,79.652,,50.093,,,,,,87,136,Fr,,0,,3/2(-),22.00,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2026-08-01
29.78,0.04,0.054,0.016144348856488452,,29.859,,0.0,M1+E2,0.41,10,5.4E2,,87,136,Fr,,0,,3/2(-),22.00,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2026-08-01
31.69,0.05,0.0015,0.0003,,61.447,,29.859,M1+E2,0.28,6,2.7E2,,87,136,Fr,,0,,3/2(-),22.00,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2026-08-01
43.5,0.2,0.0024,0.00048,,329.83,,286.07,E1,,,1.03,,87,136,Fr,,0,,3/2(-),22.00,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2026-08-01
44,0.1,0.0015,0.0003,,123.737,,79.652,M1+E2,0.52,4,134,,87,136,Fr,,0,,3/2(-),22.00,,7,m,1320,4.2,B-,99.994,,1149.1,8,88,135,Ra,1-May-2001,E. BROWNE,2026-08-01
