energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
15.784,,7.3226196218728,0.9589568838248274,X,L,92,146,U,,0,,0+,4.468E9,,6,Y,1.4099634525447706e17,189341555847552,A,100,,4269.9,21,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-01
16.678,,0.068222152,0.011827757824409283,X,L,92,146,U,,2557.9,0.5,0+,280,,6,ns,0.00000028,0.000000006,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2026-09-01
89.954,,0.000691567893056513,0.00010226704784774813,X,KA2,92,146,U,,0,,0+,4.468E9,,6,Y,1.4099634525447706e17,189341555847552,A,100,,4269.9,21,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-01
93.347,,0.0011186798658306583,0.00016536525393969834,X,KA1,92,146,U,,0,,0+,4.468E9,,6,Y,1.4099634525447706e17,189341555847552,A,100,,4269.9,21,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-01
94.657,,0.0404045344410152,0.008152511731627834,X,KA2,92,146,U,,2557.9,0.5,0+,280,,6,ns,0.00000028,0.000000006,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2026-09-01
98.439,,0.0646783006899555,0.01304771578147952,X,KA1,92,146,U,,2557.9,0.5,0+,280,,6,ns,0.00000028,0.000000006,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2026-09-01
105.566,,0.0003980649522160272,0.00005910693105486901,X,KpB1,92,146,U,,0,,0+,4.468E9,,6,Y,1.4099634525447706e17,189341555847552,A,100,,4269.9,21,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-01
106.894,,0.0005322128411128284,0.00007900089897740437,X,KB,92,146,U,,0,,0+,4.468E9,,6,Y,1.4099634525447706e17,189341555847552,A,100,,4269.9,21,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-01
108.58,,0.00013414788889680118,0.000020018226157216642,X,KpB2,92,146,U,,0,,0+,4.468E9,,6,Y,1.4099634525447706e17,189341555847552,A,100,,4269.9,21,90,144,Th,1-Jun-2006,E. BROWNE and  J. K. TULI,2026-09-01
111.238,,0.02333434043891898,0.004724212105993482,X,KpB1,92,146,U,,2557.9,0.5,0+,280,,6,ns,0.00000028,0.000000006,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2026-09-01
112.645,,0.031314684869029275,0.006338819013017828,X,KB,92,146,U,,2557.9,0.5,0+,280,,6,ns,0.00000028,0.000000006,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2026-09-01
114.446,,0.007980344430110291,0.0016198876177793246,X,KpB2,92,146,U,,2557.9,0.5,0+,280,,6,ns,0.00000028,0.000000006,IT,97.4,0.4,,,92,146,U,1-Jun-2014,E. BROWNE and  J. K. TULI,2026-09-01

