energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
11.39,,,,,11.5,583200,0.0,,,,,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
26.7,,,,,83.0,,56.3,,,,,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
44.2,,0.000004165,0.000000017,,204.3,0.0000000031,160.0,(M1+E2),0.194,13,75.2,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
44.86,,0.000000833,0.000000003,,56.3,,11.5,[M1+E2],0.50,20,166,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
56.32,,0.000002499,0.00000001,,56.3,583200,0.0,[E2],,,208.4,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
56.76,,0.00000098,0.000000004,,261.0,,204.3,[M1+E2],0.11,10,28,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
71.6,,0.00000287,0.0000001,,83.0,,11.5,[E2],,,65.9,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
77.1,,0.0000206,0.0000005,0.0000000031,160.0,,83.0,[M1],,,,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
101,,0.0000000711,0.0000000003,,261.0,0.0000000031,160.0,[E2],,,13.0,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
103.68,0.005,0.0001012,0.0000006,0.0000000031,160.0,,56.3,[M1+E2],0.069,,4.49,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
114,,0.000081,0.000007,0.000000155,274.0,0.0000000031,160.0,E1,,,0.090,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
121.2,,0.000000686,0.000000003,,204.3,,83.0,[M1],,,13.7,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
148.567,0.01,0.000186,0.0000014,0.0000000031,160.0,,11.5,[M1+E2],0.169,3,7.50,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
159.955,,0.00000654,0.00000008,0.0000000031,160.0,583200,0.0,[E2],,,1.82,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
641,2,,,,,,,,,,,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
687,2,,,,,,,,,,,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
16.678,,0.00124597035816,,,,,,,,,,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
94.657,,0.00031785362468885804,0.000009155984473669533,,,,,,,,,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
98.439,,0.0005088100283157644,0.000014514477072633707,,,,,,,,,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
111.238,,0.00018356614649432,0.000006106943690278823,,,,,,,,,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
112.645,,0.0002463457685953775,0.000008143961512776677,,,,,,,,,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01
114.446,,0.00006277962210105744,0.0000022813499746212765,,,,,,,,,,94,147,Pu,,0,,5/2+,14.329,,29,Y,452179192.2899288,915150.853263168,A,0.00247,,5140.1,5,92,145,U,15-Mar-2006,M. S. Basunia,2026-08-01

