energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
671.36,0.008,99.95,0.01,0.715,671.361,,0,M3,,,0.00050,,17,21,Cl,,671.365,0.008,5-,715,,3,ms,0.715,0.003,IT,100,,,,17,21,Cl,30-Sep-2017,JUN CHEN,2026-09-01
1209.4,,0.02,,,3376.9,,2167.467,E2,,,,,17,21,Cl,,0,,2-,37.230,,14,m,2233.8,0.84,B-,100,,4916.71,22,18,20,Ar,30-Sep-2017,JUN CHEN,2026-09-01
1642.68,0.02,32.9,0.5,,3810.187,,2167.467,E1(+M2),0.016,13,,,17,21,Cl,,0,,2-,37.230,,14,m,2233.8,0.84,B-,100,,4916.71,22,18,20,Ar,30-Sep-2017,JUN CHEN,2026-09-01
2167.4,0.009,44,0.6,,2167.467,,0.0,E2,,,,,17,21,Cl,,0,,2-,37.230,,14,m,2233.8,0.84,B-,100,,4916.71,22,18,20,Ar,30-Sep-2017,JUN CHEN,2026-09-01
2398.1,,0.02,,,4565.5,,2167.467,,,,,,17,21,Cl,,0,,2-,37.230,,14,m,2233.8,0.84,B-,100,,4916.71,22,18,20,Ar,30-Sep-2017,JUN CHEN,2026-09-01
3810.01,0.07,0.0259,0.0018,,3810.187,,0.0,[E3],,,,,17,21,Cl,,0,,2-,37.230,,14,m,2233.8,0.84,B-,100,,4916.71,22,18,20,Ar,30-Sep-2017,JUN CHEN,2026-09-01
3936.1,,0.007,,,3936.5,,0.0,[E2],,,,,17,21,Cl,,0,,2-,37.230,,14,m,2233.8,0.84,B-,100,,4916.71,22,18,20,Ar,30-Sep-2017,JUN CHEN,2026-09-01
0.223,,0.00011883145455,0.00002422874242146408,,,,,,,,,,17,21,Cl,,671.365,0.008,5-,715,,3,ms,0.715,0.003,IT,100,,,,17,21,Cl,30-Sep-2017,JUN CHEN,2026-09-01
0.265,,0.0000024,0.0000005,,,,,,,,,,17,21,Cl,,0,,2-,37.230,,14,m,2233.8,0.84,B-,100,,4916.71,22,18,20,Ar,30-Sep-2017,JUN CHEN,2026-09-01
2.621,,0.001681161413840141,0.00004876055424895563,,,,,,,,,,17,21,Cl,,671.365,0.008,5-,715,,3,ms,0.715,0.003,IT,100,,,,17,21,Cl,30-Sep-2017,JUN CHEN,2026-09-01
2.623,,0.0033250819102850888,0.00009502918158337392,,,,,,,,,,17,21,Cl,,671.365,0.008,5-,715,,3,ms,0.715,0.003,IT,100,,,,17,21,Cl,30-Sep-2017,JUN CHEN,2026-09-01
2.816,,0.0004305369258747698,0.000023492338205622692,,,,,,,,,,17,21,Cl,,671.365,0.008,5-,715,,3,ms,0.715,0.003,IT,100,,,,17,21,Cl,30-Sep-2017,JUN CHEN,2026-09-01
2.816,,0.0004305369258747698,0.000023492338205622692,,,,,,,,,,17,21,Cl,,671.365,0.008,5-,715,,3,ms,0.715,0.003,IT,100,,,,17,21,Cl,30-Sep-2017,JUN CHEN,2026-09-01
2.956,,0.0000335,0.0000009,,,,,,,,,,17,21,Cl,,0,,2-,37.230,,14,m,2233.8,0.84,B-,100,,4916.71,22,18,20,Ar,30-Sep-2017,JUN CHEN,2026-09-01
2.958,,0.0000663,0.0000018,,,,,,,,,,17,21,Cl,,0,,2-,37.230,,14,m,2233.8,0.84,B-,100,,4916.71,22,18,20,Ar,30-Sep-2017,JUN CHEN,2026-09-01
3.19,,0.0000108,0.0000004,,,,,,,,,,17,21,Cl,,0,,2-,37.230,,14,m,2233.8,0.84,B-,100,,4916.71,22,18,20,Ar,30-Sep-2017,JUN CHEN,2026-09-01
3.19,,0.0000108,0.0000004,,,,,,,,,,17,21,Cl,,0,,2-,37.230,,14,m,2233.8,0.84,B-,100,,4916.71,22,18,20,Ar,30-Sep-2017,JUN CHEN,2026-09-01

