energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
312.6,0.25,0.336288,0.019958327084202223,0.00000000033,1837.2,,1524.6,[E2],,,0.00349,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
692,0.8,0.0032544,0.0007233814208285972,,3445.4,,2753.2,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
899.7,0.4,0.051528,0.002544163062777227,,2424.3,,1524.6,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
1021.2,0.9,0.0200688,0.0014498458435295801,,3445.4,,2424.3,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
1228,1.5,0.0023504,0.0010848630927448864,,2753.2,,1524.6,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
1524.6,0.3,18.08,0.09,,1524.6,,0.0,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
1920.8,1,0.0412224,0.003982889503865252,,3445.4,,1524.6,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
2424.3,0.7,0.019888,0.0028944935377367836,,2424.3,,0.0,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
0.358,,0.000003934556484768,0.0000008157378730917544,,,,,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
3.688,,0.000052410416847031706,0.000003428896482531896,,,,,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
3.692,,0.00010355743301132524,0.000006755796940097987,,,,,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
4.013,,0.00002021343334164306,0.0000013661783704353318,,,,,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01
4.013,,0.00002021343334164306,0.0000013661783704353318,,,,,,,,,,19,23,K,,0,,2-,12.355,,7,h,44478,25.2,B-,100,,3525.26,18,20,22,Ca,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2026-08-01

