energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
142.528,0.008,62,2,18.75,142.528,7242912,0.0,E3,,,0.612,,21,25,Sc,,142.528,0.007,1-,18.75,,4,s,18.75,0.04,IT,100,,,,21,25,Sc,15-Jul-2000,S. -C. WU,2026-07-24
889.277,0.003,99.984,0.001,0.00000000000469,889.286,,0.0,E2,,,0.00017,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-2000,S. -C. WU,2026-07-24
1120.545,0.004,99.987,0.001,,2009.846,0.00000000000469,889.286,E2,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-2000,S. -C. WU,2026-07-24
2010,,0.000013,0.00001,,2009.846,,0.0,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-2000,S. -C. WU,2026-07-24
0.422,,0.15188120656,0.031016841545577628,,,,,,,,,,21,25,Sc,,142.528,0.007,1-,18.75,,4,s,18.75,0.04,IT,100,,,,21,25,Sc,15-Jul-2000,S. -C. WU,2026-07-24
0.477,,0.000122954322259998,0.000024545992358385755,,,,,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-2000,S. -C. WU,2026-07-24
4.086,,1.9465534098701534,0.08524641143429777,,,,,,,,,,21,25,Sc,,142.528,0.007,1-,18.75,,4,s,18.75,0.04,IT,100,,,,21,25,Sc,15-Jul-2000,S. -C. WU,2026-07-24
4.091,,3.840113256796515,0.1671021975740305,,,,,,,,,,21,25,Sc,,142.528,0.007,1-,18.75,,4,s,18.75,0.04,IT,100,,,,21,25,Sc,15-Jul-2000,S. -C. WU,2026-07-24
4.474,,0.7632613333333335,0.03534384952199713,,,,,,,,,,21,25,Sc,,142.528,0.007,1-,18.75,,4,s,18.75,0.04,IT,100,,,,21,25,Sc,15-Jul-2000,S. -C. WU,2026-07-24
4.474,,0.7632613333333335,0.03534384952199713,,,,,,,,,,21,25,Sc,,142.528,0.007,1-,18.75,,4,s,18.75,0.04,IT,100,,,,21,25,Sc,15-Jul-2000,S. -C. WU,2026-07-24
4.505,,0.0015545485847293097,0.00003896465834388198,,,,,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-2000,S. -C. WU,2026-07-24
4.511,,0.00306254646321771,0.00007526602530963253,,,,,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-2000,S. -C. WU,2026-07-24
4.947,,0.0006117650938529801,0.000017149007297765322,,,,,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-2000,S. -C. WU,2026-07-24
4.947,,0.0006117650938529801,0.000017149007297765322,,,,,,,,,,21,25,Sc,,0,,4+,83.79,,4,d,7239456,3456,B-,100,,2366.6,7,22,24,Ti,15-Jul-2000,S. -C. WU,2026-07-24

