energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
846.7638,0.0019,98.85,0.03,,846.7762,,0.0,E2,,,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
1037.8333,0.0024,0.03954,0.0049425145675050875,,3122.908,,2085.064,,,,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
1238.2736,0.0022,0.03954,0.003954018209366265,,2085.064,,846.7762,E2,,,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
1810.726,0.004,26.8872,0.3954841913401849,,2657.547,,846.7762,M1+E2,-0.18,1,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
2113.092,0.006,14.2344,0.29658146418817205,,2959.935,,846.7762,M1+E2,0.19,1,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
2523.06,0.05,1.018155,0.019772414647685296,,3369.91,,846.7762,M1+E2,0.25,15,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
2598.438,0.004,0.01977,0.0019770091046831324,,3445.279,,846.7762,M1+E2,-0.27,2,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
2657.56,0.01,0.6454905,0.006922272535807876,,2657.547,,0.0,,,,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
2959.92,0.01,0.306435,0.004943374884630944,,2959.935,,0.0,,,,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
3369.81,0.04,0.168045,0.009885131562098706,,3369.91,,0.0,,,,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
0.728,,0.0002608324496501562,0.00002631807573776149,,,,,,,,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
6.391,,0.00297463718290505,0.000055898261392635265,,,,,,,,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
6.404,,0.0058246273407187195,0.00010567513268549113,,,,,,,,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
7.082,,0.0012037393868317317,0.000024994807816000326,,,,,,,,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01
7.082,,0.0012037393868317317,0.000024994807816000326,,,,,,,,,,25,31,Mn,,0,,3+,2.5789,,1,h,9284.04,0.36,B-,100,,3695.50,21,26,30,Fe,29-Oct-2009,HUO JUNDE and  HUO SU and  YANG DONG,2026-09-01

