energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
50.88,0.04,0.01002225,0.00143176386059294,,2515.255,,2464.406,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
112.59,0.07,0.1078585,0.019090120398782193,,2515.255,,2402.537,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
113.5,0.1,0.005727,0.0009545067888705663,,3455.656,,3342.135,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
142.66,0.06,0.00925865,0.000954517743365727,,834.416,0.0000004,691.77,E2,,,0.196,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
231.06,0.03,0.02701235,0.000763788766872098,,3325.608,,3094.54,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
289.51,0.04,0.1994905,0.004774147191907681,,3325.608,,3036.018,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
306.12,0.18,0.0238625,0.0019090589304680986,,3342.135,,3036.018,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
317.87,0.03,0.02090355,0.0004774308558315015,,3757.81,,3439.952,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
336.683,0.019,0.122176,0.0038187723472341215,,2065.347,,1728.740,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
374.34,0.03,0.0177537,0.000763681547243352,,3325.608,,2951.26,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
381.67,0.06,0.303531,0.0047763124782618654,,3325.608,,2943.874,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
402.02,0.07,0.01909,0.0047725150864088425,,3342.135,,2940.23,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
428.645,0.018,0.215717,0.005728605097229168,,2943.874,,2515.255,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
449.838,0.016,0.110722,0.005727422907381644,,2515.255,,2065.347,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
479.45,0.03,0.1002225,0.0028641929491568826,,2943.874,,2464.406,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
496.07,0.03,0.0565064,0.0008597840268928005,,3439.952,,2943.874,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
520.85,0.019,0.0582245,0.002863733893014503,,3036.018,,2515.255,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
587.451,0.021,0.1384025,0.004773292914749733,,3342.135,,2754.68,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
600.912,0.015,5.82245,0.019437687619673284,,2065.347,,1464.295,D(+Q),,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
629.967,0.019,26.13421,0.04156430661035981,,1464.295,,834.416,M1+E2,-10.3,13,0.001177,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
633.466,0.014,0.15796975,0.0023883152121317655,,3036.018,,2402.537,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
642.466,0.014,0.1059495,0.0009568206780792313,,3678.515,,3036.018,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
691.2,,,,0.0000004,691.772,,0,E0,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
735.694,0.012,0.370346,0.0028729476309184614,,2464.406,,1728.740,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
738.272,0.023,0.0473432,0.0021001108703113747,,3678.515,,2940.23,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
772.64,0.03,0.028635,0.002004530818545826,,1464.295,0.0000004,691.77,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
786.525,0.012,3.3397955,0.015415624034076597,,2515.255,,1728.740,D,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
810.33,0.013,2.086537,0.007747824892187484,,3325.608,,2515.255,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
834.13,0.04,95.45,0.07666600045000391,,834.416,,0,E2,,,0.000553,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
861.179,0.014,0.939228,0.0029237312479090823,,3325.608,,2464.406,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
878.52,0.02,0.0639515,0.0038182116284983473,,2943.874,,2065.347,,,,,,31,41,Ga,,0,,3-,14.10,,2,h,50760,72,B-,100,,3997.6,8,32,40,Ge,1-May-2009,D. Abriola(a) and  A.A. Sonzogni,2026-08-01
