energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
301.96,0.05,0.0087,0.0004,,2429.146,,2127.23,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
358.21,0.06,0.00456,0.00017,,1689.003,,1330.855,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
403.094,0.05,0.024,0.0008,,2429.146,,2026.03,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
438.29,0.05,0.00329,0.00013,,2127.23,,1689.003,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
456.777,0.05,0.0329,0.0009,,1787.648,,1330.855,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
472.838,0.02,0.0451,0.0017,,1689.003,,1216.153,M1+E2,3.2,3,0.0026,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
484.69,0.05,0.00602,0.00021,,2655.347,,2170.67,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
528.15,0.06,0.00313,0.00013,,2655.347,,2127.23,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
559.086,0.01,40.67,0.29,0.00000000001198,559.100,,0.0,E2,,,1.97E-3,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
563,,0.027,0.0000027,,563,,0,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,EC,0.027,,921.5,9,32,44,Ge,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
563.147,0.01,1.094,0.026,,1122.257,0.00000000001198,559.100,E2,,,1.92E-3,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
571.478,0.02,0.1245,0.0022,,1787.648,,1216.153,(M1(+E2)),0.13,12,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
575.28,0.03,0.0602,0.0013,,1791.457,,1216.153,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
657.042,0.01,5.69,0.13,,1216.153,0.00000000001198,559.100,E2+M1(+E0),5.2,2,1.23E-3,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
665.358,0.02,0.382,0.005,,1787.648,,1122.257,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
695.17,0.05,0.00785,0.00033,,2026.03,,1330.855,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
727.003,0.05,0.0175,0.0004,,2514.63,,1787.648,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
740.132,0.02,0.1074,0.0018,,2429.146,,1689.003,(E1+M2),-0.21,12,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
771.762,0.02,0.1078,0.0018,,1330.855,0.00000000001198,559.100,E2,,,0.000800,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
809.85,0.05,0.0167,0.0004,,2026.03,,1216.153,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
863.88,0.05,0.00911,0.00033,,2655.347,,1791.46,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
867.701,0.02,0.1212,0.0022,,2655.347,,1787.648,D(+Q),0.013,20,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
882.212,0.02,0.05,0.004,,2669.875,,1787.648,(E1),,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
954.7,0.2,0.00085,0.00012,,2170.67,,1216.153,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
980.921,0.05,0.0386,0.0025,,2669.875,,1689.003,(E1),,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
1098.323,0.05,0.00289,0.00021,,2429.146,,1330.855,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
1129.909,0.02,0.11,0.008,,1689.003,0.00000000001198,559.100,M1+E2,1.08,10,0.000309,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
1212.986,0.01,1.293,0.026,,2429.146,,1216.153,(E1+M2),0.025,20,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
1216.2,0.02,3.09,0.06,,1216.153,,0.0,E2,,,0.000281,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
1228.589,0.02,1.078,0.022,,1787.648,0.00000000001198,559.100,M1+E2,-0.51,5,0.000264,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
1232.4,0.05,0.00818,0.00021,,1791.457,0.00000000001198,559.100,,,,,,33,43,As,,0,,2-,26.254,,11,h,94514.4,39.6,B-,100,,2960.6,9,34,42,Se,8-Jan-2024,Balraj Singh and  Jun Chen and Ameenah R. Farhan,2026-07-24
