energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1.535,,1.87602074,0.29003746875064074,X,L,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,IT,97.6,0.3,,,35,47,Br,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01
1.648,,0.014650109511644376,0.0010344686566059133,X,L,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01
11.879,,11.51150772349127,2.3042577060514784,X,KA2,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,IT,97.6,0.3,,,35,47,Br,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01
11.925,,22.218698559141615,4.446222930104143,X,KA1,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,IT,97.6,0.3,,,35,47,Br,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01
12.596,,0.10552897841937624,0.007308816790472674,X,KA2,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01
12.649,,0.20348819594943354,0.014059180270328025,X,KA1,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01
13.345,,5.269953320986924,1.0555147078452916,X,KpB1,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,IT,97.6,0.3,,,35,47,Br,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01
13.377,,5.676793717367114,1.1369358346034588,X,KB,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,IT,97.6,0.3,,,35,47,Br,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01
13.469,,0.40684039638019054,0.0823822864423414,X,KpB2,35,47,Br,,45.9492,0.001,2-,6.13,,5,m,367.8,3,IT,97.6,0.3,,,35,47,Br,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01
14.169,,0.048761158419206266,0.003393450660492877,X,KpB1,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01
14.209,,0.05367628318786226,0.0037326451403636917,X,KB,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01
14.313,,0.004915124768655992,0.00037202658519492964,X,KpB2,35,47,Br,,0,,5-,35.282,,7,h,127015.2,25.2,B-,100,,3093.1,10,36,46,Kr,1-Mar-2019,J. K. TULI and  E. BROWNE,2026-09-01

