energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1.767,,2.59,0.16,X,L,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
1.767,,0.362285352547425,0.023079764283216876,X,L,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,EC,13.4,0.4,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
1.89,,1.894497553828,0.17804764600887757,X,L,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,IT,86.6,0.4,,,38,47,Sr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
13.336,,17.2,1,X,KA2,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
13.336,,2.4034544092652266,0.15539047285741486,X,KA2,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,EC,13.4,0.4,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
13.396,,33,1.9,X,KA1,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
13.396,,4.6264762449763746,0.2982857005367893,X,KA1,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,EC,13.4,0.4,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
14.098,,0.4235598928209277,0.017436927285858744,X,KA2,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,IT,86.6,0.4,,,38,47,Sr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
14.165,,0.8137557979268544,0.033271552707572045,X,KA1,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,IT,86.6,0.4,,,38,47,Sr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
15.021,,8,0.5,X,KpB1,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
15.021,,1.1263007177225792,0.0733166225381681,X,KpB1,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,EC,13.4,0.4,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
15.07,,9,0.5,X,KB,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
15.07,,1.2569516009783985,0.08169722508183126,X,KB,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,EC,13.4,0.4,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
15.187,,0.1306508832558192,0.009624305424764818,X,KpB2,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,EC,13.4,0.4,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
15.187,,0.93,0.06,X,KpB2,38,47,Sr,,0,,9/2+,64.849,,7,d,5602953.6,604.8,EC,100,,1064.1,28,37,48,Rb,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
15.898,,0.20092692854178584,0.008401403489010036,X,KpB1,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,IT,86.6,0.4,,,38,47,Sr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
15.955,,0.227047429252218,0.009459504636045498,X,KB,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,IT,86.6,0.4,,,38,47,Sr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01
16.085,,0.02612050071043216,0.0013560267702743961,X,KpB2,38,47,Sr,,238.79,0.05,1/2-,67.63,,4,m,4057.8,2.4,IT,86.6,0.4,,,38,47,Sr,31-Dec-2013,BALRAJ SINGH AND JUN CHEN,2026-08-01

