energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
40.94,0.03,0.0731,0.0022,375.78,40.892,640605597284.2177,0.0,M3,,,1360,,41,53,Nb,,40.892,0.012,3+,6.263,,4,m,375.78,0.24,IT,99.5,0.06,,,41,53,Nb,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2026-09-01
702,,0.0031,0.0004,,1573.0,,871.0,E2,,,0.00186,,41,53,Nb,,40.892,0.012,3+,6.263,,4,m,375.78,0.24,B-,0.5,0.06,2045.0,15,42,52,Mo,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2026-09-01
702.65,0.06,99.8,0.1,,1573.72,,871.095,E2,,,0.00186,,41,53,Nb,,0,,6+,2.03E+4,,16,Y,640605597284.2177,50491081559.3472,B-,100,,2045.0,15,42,52,Mo,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2026-09-01
871,,0.5,0.06,,871.0,,0,E2,,,0.00108,,41,53,Nb,,40.892,0.012,3+,6.263,,4,m,375.78,0.24,B-,0.5,0.06,2045.0,15,42,52,Mo,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2026-09-01
871.091,0.018,99.8,0.1,,871.095,,0,E2,,,0.00108,,41,53,Nb,,0,,6+,2.03E+4,,16,Y,640605597284.2177,50491081559.3472,B-,100,,2045.0,15,42,52,Mo,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2026-09-01
993,,0.00075,0.00013,,1864.0,,871.0,M1+E2,-2.0,3,0.00080,,41,53,Nb,,40.892,0.012,3+,6.263,,4,m,375.78,0.24,B-,0.5,0.06,2045.0,15,42,52,Mo,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2026-09-01
2.299,,3.04887596976,0.14363985602150564,,,,,,,,,,41,53,Nb,,40.892,0.012,3+,6.263,,4,m,375.78,0.24,IT,99.5,0.06,,,41,53,Nb,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2026-09-01
2.44,,0.0000207627469809,0.0000023548914188795134,,,,,,,,,,41,53,Nb,,40.892,0.012,3+,6.263,,4,m,375.78,0.24,B-,0.5,0.06,2045.0,15,42,52,Mo,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2026-09-01
2.44,,0.011117969001,0.00035122975253066077,,,,,,,,,,41,53,Nb,,0,,6+,2.03E+4,,16,Y,640605597284.2177,50491081559.3472,B-,100,,2045.0,15,42,52,Mo,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2026-09-01
16.521,,11.206433467415707,0.6795513071394698,,,,,,,,,,41,53,Nb,,40.892,0.012,3+,6.263,,4,m,375.78,0.24,IT,99.5,0.06,,,41,53,Nb,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2026-09-01
